História;Descrição;Como/Quando;Critérios de aceite;Numero do Cenário;Cenários;Steps;Gherkin
R1REED05;O objetivo desta história é validar as limitações aplicadas no formulário do e-Touches E obrigatoriedade nos campos CNPJ, COMPANY SIZE e OPERATNG SINCE;"•	N/A";"•	CNPJ deve conter exatamente 14 dígitos no preenchimento do mesmo; 
•	CNPJ, NÃO permite preenchimento com letras e/ou caracteres especiais;
•	Company Size, preenchimento obrigatório pelo usuário;
•	Company Size, deve aparecer como um campo dropdow;
•	Operating Since, preenchimento obrigatório pelo usuário;
•	Operating Since, deve aparecer como um campo dropdown.";Cenário 1;Campo CNPJ preenchido com mais de 14 dígitos, retorna mensagem “Your response is too long.”;"•	Usuário deverá acessar o formulário, como Buyer;
•	Preencher o campo CNPJ;
•	Preencher mais de 14 dígitos;
•	Clicar em “CONTINUE”;	
•	Verificar no topo da tela, a mensagem “The are problems with the fields in red”;
•	Verificar campo CNPJ, a mensagem “Your response is too long”
•	Encerrar teste.

Validar:
•	Campo CNPJ não aceita mais de 14 dígitos, conforme limitação aplicada no e-Touches. 
";"Dado que acesso o formulario como Buyer ou Main Buyer
Quando preencho o campo CNPJ com mais de 14 dígitos
Então será exibido no topo da tela a mensagem ""The are problems with the fields in red"""
;;;;Cenário 2;Campo CNPJ preenchido com menos de 14 dígitos, retorna mensagem “Your response is too short.”;"•	Usuário deverá acessar o formulário, como Buyer;
•	Preencher o campo CNPJ;
•	Preencher menos de 14 dígitos;
•	Clicar em “CONTINUE”;	
•	Verificar no topo da tela, a mensagem “The are problems with the fields in red”;
•	Verificar campo CNPJ, a mensagem “Your response is too short”
•	Encerrar teste.

Validar:
•	Campo CNPJ não aceita menos de 14 dígitos, conforme limitação aplicada no e-Touches. ";"Dado que acesso o formulário como Buyer 
Quando preencho o campo CNPJ com menos de 14 dígitos
E clico em CONTINUE
Então será exibido no topo da tela a mensagem ""The are problems with the fields in red""
Então será exibido no campo CNPJ a mensagem ""Your response is too short"""
;;;;Cenário 3 ;Campo CNPJ NÃO aceita letras e/ou caracteres especiais, sistema sinaliza preenchimento incorreto.;"•	Usuário deverá acessar o formulário, como Buyer;
•	Preencher o campo CNPJ;
•	Preencher campo com letras e/ou caracteres especiais;
•	Clicar em “CONTINUE”;	
•	Verificar no topo da tela, a mensagem “The are problems with the fields in red”;
•	Verificar campo CNPJ, a mensagem “You must specify a number”
•	Encerrar teste.

Validar:
•	Sinaliza ao usuário que preenchimento está incorreto, pois o campo é permitido somente números.
";"Dado que acesso o formulário como BUYER
Quando preencho o campo CNPJ com letras ou caracteres especiais
E Clico em ""CONTINUE""
Então será exibido no topo da tela a mensagem ""The are problems with the fields in red""
Então será exibido no campo CNPJ a mensagem ""You must specify a number"""
;;;;Cenário 4;Campo CNPJ NÃO preenchido pelo usuário, sistema permite acesso a próxima fase do formulário;"•	Usuário deverá acessar o formulário, como Buyer;
•	NÃO preencher CNPJ;
•	Clicar em “CONTINUE”;
•	Permite acesso para a próxima fase do formulário 	
•	Encerrar teste.

Validar:
•	Quando o usuário não preencher o CNPJ, ele será direcionado para a próxima fase, pois o campo NÃO é obrigatório.";"Dado que acesso o formulário como Buyer
Quando não preencho o CNPJ
E clico em ""CONTINUE""
Então será permitido o acesso para a próxima fase do formulário"
;;;;Cenário 5;Campo CNPJ preenchido pelo usuário corretamente, sistema permite acesso a próxima fase do formulário;"•	Usuário deverá acessar o formulário, como Buyer;
•	Preencher o CNPJ;
•	Clicar em “CONTINUE”;
•	Permite acesso para a próxima fase do formulário 	
•	Encerrar teste.
Validar:
•	Validar que preenchimento feito corretamente pelo usuário, será direcionado para a próxima fase do formulário.";"Dado que acesso o formulário como BUYER
Quando preencho o CNPJ
E clico em ""CONTINUE""
Então será permitido o acesso para a próxima fase do formulário"
;;;;Cenário 6;Campo Company Size (dropdown) selecionado opção corretamente pelo usuário, sistema permite acesso a próxima fase do formulário.;"•	Usuário deverá acessar o formulário, como Buyer;
•	Selecionar o campo Company Size (dropdow);
•	Selecionar a opção equivalente a empresa;
•	Clicar em “CONTINUE”;
•	Permite acesso para a próxima fase do formulário 	
•	Encerrar teste.

Validar:
•	Validar que preenchimento feito corretamente pelo usuário, será direcionado para a próxima fase do formulário.";"Dado que acesso o formulário como Buyer
Quando seleciono o campo Company Size(dropdown)
E seleciono a opção equivalente a empresa
E clico em ""CONTINUE""
Então será permitido o acesso para a próxima fase do formulário"
;;;;Cenário 7;Company Size NÃO preenchido pelo usuário, sistema sinaliza que preenchimento do campo é obrigatório.;"•	Usuário deverá acessar o formulário, como Buyer;
•	NÃO selecionar campo Company Size (dropdown);
•	Clicar em “CONTINUE”;
•	Verificar no topo da tela, a mensagem “The are problems with the fields in red”;
•	Encerrar teste.

Validar:
•	Quando o usuário não preencher o campo Company Size, sistema sinaliza para usuário preenchimento obrigatório.";"Dado que acesso o formulário como Buyer
Quando não seleciono o campo Company Size(dropdown)
E clico em ""CONTINUE""
Então será exibido no topo da tela, a mensagem ""The are problems with the fields in red"""
;;;;Cenário 8;Campo Operating Since (dropdow) selecionando opção corretamente pelo usuário, sistema permite acesso a próxima fase do formulário.;"•	Usuário deverá acessar o formulário, como Buyer;
•	Selecionar o campo Operating Since (dropdow);
•	Selecionar a opção equivalente a empresa;
•	Clicar em “CONTINUE”;
•	Permite acesso para a próxima fase do formulário 	
•	Encerrar teste.

Validar:
•	Validar que preenchimento feito corretamente pelo usuário, será direcionado para a próxima fase do formulário.
";"Dado que acesso o formulário como Buyer
Quando seleciono o campo Operating Since(dropdown)
E seleciono a opção equivalente a empresa
E clico em ""CONTINUE""
Então será permitido o acesso para a próxima fase do formulário"
;;;;Cenário 9;Operating Since NÃO preenchido pelo usuário, sistema sinaliza que preenchimento do campo é obrigatório.;"•	Usuário deverá acessar o formulário, como Buyer;
•	NÃO selecionar campo Operating Since (dropdown);
•	Clicar em “CONTINUE”;
•	Verificar no topo da tela, a mensagem “The are problems with the fields in red”;
•	Encerrar teste.

Validar:
•	Quando o usuário não preencher o campo Company Size, sistema sinaliza para usuário preenchimento obrigatório.";"Dado que acesso o formulário como Buyer
Quando não seleciono o campo Operating Since(dropdown)
E clico em ""CONTINUE""
Então será exibido no topo da tela a mensagem ""The are problems with the fields in red"""
R1REED06;O objetivo desta história é validar o novo fluxo de pagamento no e-Touches (Pagamento via Cielo).;"•	Pagamento será feito, no próprio site do e-Touches, no final do registro de cada credenciamento (Buyer + Main Buyer).
•	Fluxograma da liberação da segunda fase, pelo pagamento via Cielo";"•	O pagamento é vinculado e cobrado somente para o Buyer; 
•	O credenciamento só é confirmado, após o pagamento realizado com sucesso; 
•	Deverá ser utilizado apenas cartão de crédito no pagamento;";Cenário 1 ;"Campo Credit Card Number NÃO preenchido, retorna mensagem ""There are problems with the fields in red."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	NÃO digitar o número do cartão de crédito;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem “The are problems with the fields in red”;
•	Encerrar teste.

Validar:
•	Sinalizar ao usuário que campo solicitando número do cartão, é obrigatório. 

";"Dado que acesso o formulário como Buyer ou Main Buyer
Quando prossigo para o pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E não digito o número do cartão de crédito
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""The are problems with the fields in red""
"
;;;;Cenário 2 ;"Campo Credit Card Number preenchido com cartão invalido, retorna mensagem "" There was an error processing your card."" 
";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito INVALIDO;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem ""There was an error processing your card."" 
•	Encerrar teste.

Validar:
•	Pagamento só é feito quando informações do cartão de crédito é inserido corretamente. 
";"Dado que acesso o formulário como Buyer ou Main Buyer
Quando prossigo para o pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E digito o número do cartão de crédito inválido
E clico em Make Payment
Então será exibido no topo da tela a mensagem ""There was an error processing your card."""
;;;;Cenário 3;"Expiration date no campo Month NÃO preenchido, retorna mensagem “There are problems with the fields in red."" 
";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	NÃO digitar “Month” do “Espiration date”;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem "" There are problems with the fields in red."" 
•	Encerrar teste.

Validar:
•	Sinalizar ao usuário que campo solicitando data de validade do cartão, é obrigatório. ";"Dado que preencho o formulário como Buyer ou Main buyer
Quando prossigo para a última etapa, pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E digito o número do cartão de crédito
E não digito o month do ""Expiration date""
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""The are problems with the fields in red"""
;;;;Cenário 4;"Campo Month, do Experation Date preenchido com dado invalido, retorna mensagem "" There was an error processing your card."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês INVALIDO da validade do cartão;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem ""There was an error processing your card."" 
•	Encerrar teste.

Validar:
•	Pagamento só é feito quando informações do cartão de crédito é inserido corretamente. ";"Dado que preencho o formulário como Buyer ou Main buyer
Quando prossigo para a última etapa, pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E digito o número do cartão de crédito
E selecino mês INVÀLIDO da validade do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""There was an error processing your card."""
;;;;Cenário 5;"Expiration date no campo Year NÃO preenchido, retorna mensagem “There are problems with the fields in red."" 
";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	NÃO selecionar o “Year” do “Espiration date”;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem "" There are problems with the fields in red."" 
•	Encerrar teste.

Validar:
•	Sinalizar ao usuário que campo solicitando ano de validade do cartão, é obrigatório. ";"Dado que preencho o formulário como Buyer ou Main Buyer
Quando prossigo para a ultima etapa, pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E não seleciono o ""Year"" do ""Expiration date""
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""There are problems with the fields in red."""
;;;;Cenário 6;"Campo Year, do Experation Date preenchido com dado invalido, retorna mensagem "" There was an error processing your card."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de validade do cartão;
•	Selecionar ano de validade do cartão INVALIDO;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem ""There was an error processing your card."" 
•	Encerrar teste.

Validar:
•	Pagamento só é feito quando informações do cartão de crédito é inserido corretamente. ";"Dado que preencho o formulário como Buyer ou Main Buyer
Quando prossigo para a ultima etapa, pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento INVALIDO do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""There was an error processing your card."""
;;;;Cenário 7;"First Name NÃO preenchido, retorna mensagem “There are problems with the fields in red."" 
";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	NÃO digitar first name do cartão;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem "" There are problems with the fields in red."" 
•	Encerrar teste.

Validar:
•	Sinalizar que campo solicitando primeiro nome do usuário do cartão, é obrigatório. ";"Dado preencho o formulário como Buyer ou Main Buyer
Quando prossigo para a ultima etapa,  o pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E não digito o first name do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela, a mensagem ""There are problems with the fields in red."""
;;;;Cenário 8;"First Name preenchido com nome INVALIDO, retorna mensagem “There are problems with the fields in red."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	Digitar first name do cartão INVALIDO;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem “There was an error processing your card."" 
•	Encerrar teste.

Validar:
•	Sinalizar que o pagamento só é efetuado, quando as informações do cartão de crédito são inseridas corretamente.";"Dado que preencho o forulário do Buyer ou Mains Buyer
Quando prossigo para a etapa de pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E digito o first name INVALIDO do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""There was an error processing your card."""
;;;;Cenário 9;"Last Name NÃO preenchido, retorna mensagem “There are problems with the fields in red."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	Digitar first name do cartão;
•	NÃO digitar last name do cartão
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem "" There are problems with the fields in red."" 
•	Encerrar teste.

Validar:
•	Sinalizar que campo solicitando último nome do usuário do cartão, é obrigatório. ";"Dado que preencho o forulário do Buyer ou Mains Buyer
Quando prossigo para a etapa de pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E digito o first name do cartão
E não digito o last name do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela, a mensagem ""There are problems with the fields in red."""
;;;;Cenário 10;"Last Name preenchido com nome INVALIDO, retorna mensagem “There are problems with the fields in red."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	Digitar first name do cartão;
•	Digitar last name do cartão INVALIDO;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem “There was an error processing your card."" 
•	Encerrar teste.

Validar:
•	Sinalizar que o pagamento só é efetuado, quando as informações do cartão de crédito são inseridas corretamente.
";"Dado que preencho o forulário do Buyer ou Mains Buyer
Quando prossigo para a etapa de pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E digito o first name do cartão
E digito o last name INVALIDO do cartão
E clico em ""make Payment""
Então será exibido no topo da tela a mensagem ""There  was an error processing your card."""
;;;;Cenário 11 ;"Campo Credit Card Number preenchido com letras e/ou caracteres especiais, retorna mensagem ""There are problems with the fields in red.";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar no campo do número do cartão de crédito, com letras e/ou caracteres especiais;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem “The are problems with the fields in red”;
•	Encerrar teste.

Validar:
•	Sinalizar ao usuário que campo só aceita números.";"Dado que preencho o forulário do Buyer ou Mains Buyer
Quando prossigo para a etapa de pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00
E digito no campo do número do cartão de crédito, letras e/ou caracteres especiais
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""The are problems with the fields in red"""
;;;;Cenário 12;"Dados do cartão de crédito preenchido corretamente, finaliza o processo do registro do credenciamento do Buyer e Main Buyer.
";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	Digitar first name do cartão;
•	Digitar last name do cartão;
•	Clicar em “Make Payment”
•	Processo de credenciamento finalizado com sucesso;
•	Encerrar teste.

Validar:
•	Sinalizar que o pagamento só é efetuado, quando as informações do cartão de crédito são inseridas corretamente.";"Dado que preencho o formulário como Buyer ou Main Buyer
Quando prossigo para a última etapa, pagamento
E seleciono a flag que aceita a cobrança no valor de R$ 1,00 no cartão
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E digito o first name do cartão
E digito o last name do cartão
E clico em ""Make Payment""
Então o processo de credenciamento será finalizado com sucesso
"
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
